epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1565.76,1.62312,7.32107,1.02634,0.85022,0.86958,0.92491,0.66557,1.52512,6.35789,1.0147,0.000918991,0.000918991,0.000918991
43,1596.85,1.6253,7.28749,1.02814,0.85503,0.86625,0.92427,0.67063,1.52133,6.31618,1.01831,0.000897557,0.000897557,0.000897557
44,1629.51,1.61085,7.26283,1.02441,0.85975,0.86006,0.92326,0.66327,1.53571,6.51363,1.01983,0.00087595,0.00087595,0.00087595
45,1662.73,1.62034,7.26156,1.02246,0.85904,0.86195,0.92829,0.67184,1.509,6.32866,1.01061,0.00085419,0.00085419,0.00085419
46,1695.03,1.59946,7.14525,1.01583,0.86042,0.86548,0.9292,0.67572,1.48894,6.25458,1.00922,0.0008323,0.0008323,0.0008323
47,1725.81,1.60115,7.16147,1.02137,0.85571,0.8619,0.92472,0.66196,1.54393,6.44507,1.01976,0.0008103,0.0008103,0.0008103
48,1758.2,1.58808,7.09525,1.01798,0.85901,0.8724,0.92784,0.67797,1.47821,6.23856,1.00624,0.000788213,0.000788213,0.000788213
49,1790.94,1.595,7.11876,1.01608,0.85464,0.87215,0.92804,0.68002,1.49002,6.24259,1.00727,0.00076606,0.00076606,0.00076606
50,1822.6,1.58616,7.05601,1.01575,0.85128,0.87399,0.92815,0.67314,1.49894,6.25978,1.0109,0.000743864,0.000743864,0.000743864
51,1853.74,1.57851,7.00357,1.01415,0.85553,0.86727,0.93086,0.67708,1.49467,6.23608,1.00515,0.000721645,0.000721645,0.000721645
52,1886.2,1.58102,6.97335,1.01367,0.85868,0.86739,0.92968,0.67642,1.48828,6.21806,1.00483,0.000699426,0.000699426,0.000699426
53,1919.29,1.58611,7.00587,1.01295,0.85423,0.87611,0.93057,0.67845,1.50676,6.25163,1.00397,0.00067723,0.00067723,0.00067723
54,1951.73,1.56643,6.91658,1.01082,0.86128,0.87489,0.93081,0.68185,1.49242,6.16297,1.00362,0.000655077,0.000655077,0.000655077
55,1982.95,1.57951,6.97153,1.00954,0.88128,0.8544,0.93161,0.68641,1.4698,6.0843,1.00159,0.00063299,0.00063299,0.00063299
56,2015.63,1.56025,6.83977,1.00879,0.86671,0.86844,0.93047,0.67557,1.51304,6.13972,1.00681,0.00061099,0.00061099,0.00061099
57,2048.8,1.5643,6.86351,1.01002,0.86129,0.87951,0.93405,0.67665,1.49101,6.09853,1.00277,0.0005891,0.0005891,0.0005891
58,2080.56,1.57439,6.88424,1.00992,0.86989,0.8647,0.93248,0.68581,1.47411,6.06809,0.99884,0.00056734,0.00056734,0.00056734
